Month,Year,Price
1,2001,16.559999
2,2001,15.14
3,2001,14.13
4,2001,15.1
5,2001,14.56
6,2001,13.94
7,2001,13.59
8,2001,13.21
9,2001,12.01
10,2001,12.23
11,2001,12.61
12,2001,12.54
1,2002,11.9
2,2002,11.99
3,2002,12.64
4,2002,12.68
5,2002,12.85
6,2002,12.33
7,2002,11.13
8,2002,11.1
9,2002,9.9
10,2002,10.47
11,2002,10.81
12,2002,10.35
1,2003,9.91
2,2003,9.71
3,2003,9.51
4,2003,10.41
5,2003,11.04
6,2003,11.3
7,2003,11.54
8,2003,11.72
9,2003,12.04
10,2003,12.75
11,2003,13.08
12,2003,13.86
1,2004,13.97
2,2004,14.28
3,2004,14.24
4,2004,13.97
5,2004,14.03
6,2004,14.29
7,2004,13.93
8,2004,13.94
9,2004,14.33
10,2004,14.83
11,2004,15.75
12,2004,16.08
1,2005,15.69
2,2005,16.389999
3,2005,16.049999
4,2005,15.73
5,2005,15.69
6,2005,15.88
7,2005,16.4
8,2005,16.969999
9,2005,17.52
10,2005,17.09
11,2005,17.370001
12,2005,17.780001
1,2006,18.860001
2,2006,18.73
3,2006,19.33
4,2006,20.290001
5,2006,19.59
6,2006,19.57
7,2006,19.870001
8,2006,20.4
9,2006,20.360001
10,2006,21.139999
11,2006,21.690001
12,2006,21.57
1,2007,21.84
2,2007,21.809999
3,2007,22.389999
4,2007,23.26
5,2007,24.01
6,2007,24.02
7,2007,23.49
8,2007,23.4
9,2007,24.77
10,2007,25.950001
11,2007,24.99
12,2007,23.9
1,2008,22.01
2,2008,21.9
3,2008,21.82
4,2008,23.1
5,2008,23.5
6,2008,21.6
7,2008,20.9
8,2008,20
9,2008,17.610001
10,2008,13.95
11,2008,13.01
12,2008,13.21
1,2009,11.61
2,2009,10.38
3,2009,11.19
4,2009,12.49
5,2009,14.23
6,2009,13.94
7,2009,15.34
8,2009,15.98
9,2009,16.68
10,2009,16.26
11,2009,16.879999
12,2009,16.620001
1,2010,15.66
2,2010,15.72
3,2010,16.709999
4,2010,16.280001
5,2010,14.46
6,2010,14.2
7,2010,15.76
8,2010,15.18
9,2010,16.67
10,2010,17.309999
11,2010,16.43
12,2010,17.23
1,2011,17.68
2,2011,18.389999
3,2011,17.969999
4,2011,19.1
5,2011,18.540001
6,2011,18.290001
7,2011,17.860001
8,2011,16.33
9,2011,14.54
10,2011,16.02
11,2011,15.61
12,2011,14.61
1,2012,15.46
2,2012,16.24
3,2012,16.280001
4,2012,15.93
5,2012,14.17
6,2012,14.65
7,2012,15.22
8,2012,15.71
9,2012,16.15
10,2012,16.32
11,2012,16.709999
12,2012,16.780001
1,2013,17.5
2,2013,17.26
3,2013,17.51
4,2013,18.389999
5,2013,17.82
6,2013,17.34
7,2013,18.27
8,2013,17.969999
9,2013,19.309999
10,2013,19.92
11,2013,20.049999
12,2013,19.879999
1,2014,18.959999
2,2014,20.110001
3,2014,19.99
4,2014,20.32
5,2014,20.629999
6,2014,20.809999
7,2014,20.290001
8,2014,20.35
9,2014,19.540001
10,2014,19.42
11,2014,19.49
12,2014,18.120001
1,2015,18.26
2,2015,19.370001
3,2015,19.08
4,2015,19.82
5,2015,19.809999
6,2015,19.25
7,2015,19.559999
8,2015,18.139999
9,2015,17.33
10,2015,18.49
11,2015,18.309999
12,2015,17.48
1,2016,16.48
2,2016,15.95
3,2016,17
4,2016,17.389999
5,2016,17.35
6,2016,16.91
7,2016,17.620001
8,2016,17.709999
9,2016,17.940001
10,2016,17.52
11,2016,17.209999
12,2016,17.120001
1,2017,17.700001
2,2017,17.889999
3,2017,18.450001
4,2017,18.940001
5,2017,19.610001
6,2017,19.65
7,2017,20.190001
8,2017,20.200001
9,2017,20.67
10,2017,21.01
11,2017,21.18
12,2017,20.879999
1,2018,21.98
2,2018,20.860001
3,2018,20.719999
4,2018,21.040001
5,2018,20.629999
6,2018,20.360001
7,2018,20.92
8,2018,20.459999
9,2018,20.65
10,2018,19
11,2018,19.059999
12,2018,17.530001
1,2019,18.68
2,2019,19.120001
3,2019,19.280001
4,2019,19.879999
5,2019,18.870001
6,2019,20
7,2019,19.58
8,2019,19.219999
9,2019,19.799999
10,2019,20.48
11,2019,20.73
12,2019,20.719999
1,2020,20.18
2,2020,18.65
3,2020,15.91
4,2020,16.959999
5,2020,17.889999
6,2020,18.48
7,2020,18.85
8,2020,19.77
9,2020,19.33
10,2020,18.559999
11,2020,21.33
12,2020,21.99
1,2021,21.690001
2,2021,22.209999
3,2021,22.74
4,2021,23.41
5,2021,24.290001
6,2021,23.959999
7,2021,24.16
8,2021,24.530001
9,2021,23.719999
10,2021,24.450001
11,2021,23.34
12,2021,23.66
